model,condition,seed,temperature,ambiguity_group,n,parse_success,candidate_count,valid_candidate_count,any_valid_candidate,any_valid_candidate_ci_low,any_valid_candidate_ci_high,all_candidates_valid,elapsed_seconds,raw_hit@1,raw_hit@1_ci_low,raw_hit@1_ci_high,raw_hit@3,raw_hit@5,raw_hit@5_ci_low,raw_hit@5_ci_high,raw_recall@5,raw_mrr,raw_mrr_ci_low,raw_mrr_ci_high,valid_hit@1,valid_hit@5,valid_mrr,top1_mark,top1_channels,top1_fields,top1_operations,top1_filters,top1_macro,top1_macro_ci_low,top1_macro_ci_high,best5_macro,best5_macro_ci_low,best5_macro_ci_high,graded_ndcg@5
gemma3:27b,direct,55,0.0,multi_gold,149,1.0,3.530201342281879,1.3221476510067114,0.5637583892617449,0.48322147651006714,0.6377516778523481,0.14093959731543623,10.804658630875332,0.03355704697986577,0.006711409395973154,0.06711409395973154,0.08053691275167785,0.08053691275167785,0.040268456375838924,0.12751677852348994,0.028523489932885907,0.05480984340044743,0.025727069351230425,0.0894854586129754,0.06711409395973154,0.08053691275167785,0.07270693512304251,0.8791946308724832,0.8354426334292107,0.43413231064237773,0.4248322147651007,0.7046979865771812,0.6556599552572707,0.622589485458613,0.690636305528923,0.704729945669543,0.6728410035155002,0.7358200703100032,0.5790204081655252
gemma3:27b,direct,55,0.0,single_gold,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.271564200054854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.3195079107728942
gemma3:27b,staged,55,0.0,multi_gold,149,1.0,1.080536912751678,0.738255033557047,0.6912751677852349,0.6174496644295302,0.7651006711409396,0.6778523489932886,46.07428739597043,0.18791946308724833,0.12751677852348994,0.2550335570469799,0.18791946308724833,0.18791946308724833,0.12751677852348994,0.2550335570469799,0.06789709172259507,0.18791946308724833,0.12751677852348994,0.2550335570469799,0.18791946308724833,0.18791946308724833,0.18791946308724833,0.8993288590604027,0.9112176414189838,0.5732342601470118,0.6543624161073825,0.6778523489932886,0.7431991051454139,0.708649568552253,0.7801156919143496,0.7446308724832215,0.7099214605305209,0.7789471875998721,0.36222775351952996
gemma3:27b,staged,55,0.0,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.93609979993198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama3.2:3b,direct,55,0.0,multi_gold,149,1.0,4.6375838926174495,1.5503355704697988,0.6241610738255033,0.5436241610738255,0.697986577181208,0.10067114093959731,7.639915603356774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785234899328859,0.6499840204538191,0.2821029082774049,0.1413870246085011,0.6711409395973155,0.5059699584531799,0.47415548098434007,0.537213167146053,0.5602492809204218,0.5330199744327262,0.5873916586768936,0.4636621402594998
llama3.2:3b,direct,55,0.0,single_gold,1,1.0,5.0,3.0,1.0,1.0,1.0,0.0,6.486579800024629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.5599999999999999,0.9966968174610518
mistral-small:24b,direct,55,0.0,multi_gold,149,0.9932885906040269,2.6308724832214767,2.161073825503356,0.8053691275167785,0.738255033557047,0.87248322147651,0.697986577181208,11.89255199731162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8993288590604027,0.8975391498881432,0.569351230425056,0.5480984340044742,0.7181208053691275,0.7264876957494407,0.6892539149888143,0.7614776286353467,0.7736848833493128,0.7376043464365611,0.8093982102908277,0.5900002977664719
mistral-small:24b,direct,55,0.0,single_gold,1,1.0,2.0,1.0,1.0,1.0,1.0,0.0,8.045914300018921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,0.0,1.0,0.72,0.72,0.72,0.72,0.72,0.72,0.9209773122268128
mistral-small:24b,staged,55,0.0,multi_gold,149,1.0,1.2281879194630871,0.6644295302013423,0.47651006711409394,0.40268456375838924,0.5570469798657718,0.46308724832214765,25.47637546577275,0.0738255033557047,0.03355704697986577,0.12080536912751678,0.0738255033557047,0.0738255033557047,0.03355704697986577,0.12080536912751678,0.026957494407158836,0.0738255033557047,0.03355704697986577,0.12080536912751678,0.0738255033557047,0.0738255033557047,0.0738255033557047,0.8926174496644296,0.9222435282837967,0.5389581335890061,0.5212527964205816,0.6375838926174496,0.7025311601150528,0.6660990731863214,0.7385564077980186,0.7092873122403324,0.6753704058804729,0.7450402684563759,0.36363944482035304
mistral-small:24b,staged,55,0.0,single_gold,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.86477390001528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6624757922855755
